event_index,case_id,reward,completion_length,parse_success,parse_error,score,certificate_score,control_satisfied_resolution,unsafe_release,reward_components,result_class
1,CASE-D-006::variant-0,0.56512,2141,True,,0.4218,0.8875,0.0,False,"{'final_score': 0.4218, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9339, 'institutional_loss_score': 0.9759, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
2,CASE-D-006::variant-0,0.56512,2141,True,,0.4218,0.8875,0.0,False,"{'final_score': 0.4218, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9339, 'institutional_loss_score': 0.9759, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
3,CASE-D-006::variant-0,0.56512,2141,True,,0.4218,0.8875,0.0,False,"{'final_score': 0.4218, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9339, 'institutional_loss_score': 0.9759, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
4,CASE-D-006::variant-0,0.56512,2141,True,,0.4218,0.8875,0.0,False,"{'final_score': 0.4218, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9339, 'institutional_loss_score': 0.9759, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
5,CASE-D-001::variant-1,0.74973,2675,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
6,CASE-D-001::variant-1,0.74973,2675,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
7,CASE-D-001::variant-1,0.74973,2675,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
8,CASE-D-001::variant-1,0.74973,2675,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
9,CASE-B-001,0.57244,1543,True,,0.42,1.0,0.0,False,"{'final_score': 0.42, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8488, 'institutional_loss_score': 0.9712, 'parse_success': 1.0, 'unsafe_release': 0.0}",control_boundary_failed
10,CASE-B-001,0.57244,1543,True,,0.42,1.0,0.0,False,"{'final_score': 0.42, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8488, 'institutional_loss_score': 0.9712, 'parse_success': 1.0, 'unsafe_release': 0.0}",control_boundary_failed
11,CASE-B-001,0.57244,1543,True,,0.42,1.0,0.0,False,"{'final_score': 0.42, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8488, 'institutional_loss_score': 0.9712, 'parse_success': 1.0, 'unsafe_release': 0.0}",control_boundary_failed
12,CASE-B-001,0.57244,1543,True,,0.42,1.0,0.0,False,"{'final_score': 0.42, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8488, 'institutional_loss_score': 0.9712, 'parse_success': 1.0, 'unsafe_release': 0.0}",control_boundary_failed
13,CASE-D-006::variant-1,0.563185,2141,True,,0.4175,0.8875,0.0,False,"{'final_score': 0.4175, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9339, 'institutional_loss_score': 0.9759, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
14,CASE-D-006::variant-1,0.563185,2141,True,,0.4175,0.8875,0.0,False,"{'final_score': 0.4175, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9339, 'institutional_loss_score': 0.9759, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
15,CASE-D-006::variant-1,0.563185,2141,True,,0.4175,0.8875,0.0,False,"{'final_score': 0.4175, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9339, 'institutional_loss_score': 0.9759, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
16,CASE-D-006::variant-1,0.563185,2141,True,,0.4175,0.8875,0.0,False,"{'final_score': 0.4175, 'certificate_score': 0.8875, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9339, 'institutional_loss_score': 0.9759, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
17,CASE-C-002,0.958545,1512,True,,0.9079,1.0,1.0,False,"{'final_score': 0.9079, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 1.0, 'institutional_loss_score': 0.9998, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
18,CASE-C-002,0.958545,1512,True,,0.9079,1.0,1.0,False,"{'final_score': 0.9079, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 1.0, 'institutional_loss_score': 0.9998, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
19,CASE-C-002,0.958545,1512,True,,0.9079,1.0,1.0,False,"{'final_score': 0.9079, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 1.0, 'institutional_loss_score': 0.9998, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
20,CASE-C-002,0.958545,1512,True,,0.9079,1.0,1.0,False,"{'final_score': 0.9079, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 1.0, 'institutional_loss_score': 0.9998, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
21,CASE-D-005::variant-0,0.74931,2279,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.986, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
22,CASE-D-005::variant-0,0.74931,2279,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.986, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
23,CASE-D-005::variant-0,0.74931,2279,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.986, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
24,CASE-D-005::variant-0,0.74931,2279,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.986, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
25,CASE-C-004,0.0325,3458,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 1303 (char 1302)",-0.15,0.0,0.0,False,"{'final_score': -0.15, 'certificate_score': 0.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.0, 'institutional_loss_score': 0.0, 'parse_success': 1.0, 'unsafe_release': 0.0}",
26,CASE-C-004,0.545735,1293,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 1292 (char 1291)",0.4276,0.81,0.0,False,"{'final_score': 0.4276, 'certificate_score': 0.81, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8298, 'institutional_loss_score': 0.9767, 'parse_success': 1.0, 'unsafe_release': 0.0}",falsifier_blocked
27,CASE-C-004,0.545735,1459,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 736 (char 735)",0.4276,0.81,0.0,False,"{'final_score': 0.4276, 'certificate_score': 0.81, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8298, 'institutional_loss_score': 0.9767, 'parse_success': 1.0, 'unsafe_release': 0.0}",falsifier_blocked
28,CASE-C-004,0.545735,1385,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 1165 (char 1164)",0.4276,0.81,0.0,False,"{'final_score': 0.4276, 'certificate_score': 0.81, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8298, 'institutional_loss_score': 0.9767, 'parse_success': 1.0, 'unsafe_release': 0.0}",falsifier_blocked
29,CASE-D-003::variant-1,0.74973,2649,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
30,CASE-D-003::variant-1,0.74973,2649,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
31,CASE-D-003::variant-1,0.74973,2649,True,,0.79,1.0,0.0,False,"{'final_score': 0.79, 'certificate_score': 1.0, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",correct_but_policy_incomplete
32,CASE-D-003::variant-1,0.460775,2643,True,,0.2723,0.6975,0.0,False,"{'final_score': 0.2723, 'certificate_score': 0.6975, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8438, 'institutional_loss_score': 0.9847, 'parse_success': 1.0, 'unsafe_release': 0.0}",falsifier_blocked
33,CASE-B-002,0.41254,1929,True,,0.1023,0.8375,0.0,False,"{'final_score': 0.1023, 'certificate_score': 0.8375, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.92, 'institutional_loss_score': 0.9776, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
34,CASE-B-002,0.384995,1085,True,"partial_json_recovery: Expecting ',' delimiter: line 1 column 871 (char 870)",0.1093,0.6975,0.0,False,"{'final_score': 0.1093, 'certificate_score': 0.6975, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.8185, 'institutional_loss_score': 0.9867, 'parse_success': 1.0, 'unsafe_release': 0.0}",falsifier_blocked
35,CASE-B-002,0.29391,1699,True,,0.0331,0.36,0.0,False,"{'final_score': 0.0331, 'certificate_score': 0.36, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.7568, 'institutional_loss_score': 0.9867, 'parse_success': 1.0, 'unsafe_release': 0.0}",falsifier_blocked
36,CASE-B-002,0.412515,1929,True,,0.1025,0.8375,0.0,False,"{'final_score': 0.1025, 'certificate_score': 0.8375, 'control_satisfied_resolution': 0.0, 'institutional_utility': 0.92, 'institutional_loss_score': 0.9753, 'parse_success': 1.0, 'unsafe_release': 0.0}",incorrect_resolution
37,CASE-D-004::variant-0,0.931365,2680,True,,0.8603,1.0,1.0,False,"{'final_score': 0.8603, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
38,CASE-D-004::variant-0,0.931365,2680,True,,0.8603,1.0,1.0,False,"{'final_score': 0.8603, 'certificate_score': 1.0, 'control_satisfied_resolution': 1.0, 'institutional_utility': 0.9451, 'institutional_loss_score': 0.9944, 'parse_success': 1.0, 'unsafe_release': 0.0}",valid_success
